ECG;EMG;EDA;CATEGORY
-0.03222656249999998;527.0;158.0;post_test_sensors_2
0.32812499999999994;523.0;161.0;post_test_sensors_2
-0.011718749999999998;497.0;161.0;post_test_sensors_2
0.33984375;497.0;162.0;post_test_sensors_2
-0.0146484375;531.0;160.0;post_test_sensors_2
0.1845703125;504.0;159.0;post_test_sensors_2
-0.0263671875;496.0;162.0;post_test_sensors_2
-0.017578125;507.0;161.0;post_test_sensors_2
-0.011718749999999998;506.0;162.0;post_test_sensors_2
-0.0439453125;514.0;157.0;post_test_sensors_2
-0.0205078125;507.0;162.0;post_test_sensors_2
-0.005859374999999999;496.0;160.0;post_test_sensors_2
-0.0029296875;501.0;161.0;post_test_sensors_2
-0.005859374999999999;515.0;162.0;post_test_sensors_2
0.0029296875;497.0;161.0;post_test_sensors_2
-0.0263671875;505.0;161.0;post_test_sensors_2
-0.0087890625;537.0;158.0;post_test_sensors_2
-0.0087890625;526.0;158.0;post_test_sensors_2
-0.04687499999999999;524.0;157.0;post_test_sensors_2
0.3369140625;516.0;162.0;post_test_sensors_2
-0.8818359374999999;496.0;161.0;post_test_sensors_2
-0.0087890625;492.0;157.0;post_test_sensors_2
-0.03515625;507.0;157.0;post_test_sensors_2
-0.0380859375;512.0;157.0;post_test_sensors_2
-0.011718749999999998;512.0;161.0;post_test_sensors_2
-0.017578125;491.0;162.0;post_test_sensors_2
-0.011718749999999998;518.0;161.0;post_test_sensors_2
-0.0205078125;506.0;161.0;post_test_sensors_2
-0.0029296875;517.0;161.0;post_test_sensors_2
-0.0205078125;507.0;161.0;post_test_sensors_2
-0.029296875;492.0;157.0;post_test_sensors_2
-0.03222656249999998;497.0;162.0;post_test_sensors_2
-0.0732421875;518.0;162.0;post_test_sensors_2
-0.017578125;493.0;161.0;post_test_sensors_2
-0.0234375;499.0;160.0;post_test_sensors_2
-0.0029296875;499.0;157.0;post_test_sensors_2
-0.0205078125;482.0;157.0;post_test_sensors_2
-0.03515625;491.0;160.0;post_test_sensors_2
-0.03515625;497.0;157.0;post_test_sensors_2
0.1728515625;516.0;160.0;post_test_sensors_2
-0.0380859375;502.0;157.0;post_test_sensors_2
0.0263671875;516.0;162.0;post_test_sensors_2
-0.017578125;519.0;157.0;post_test_sensors_2
-0.005859374999999999;550.0;162.0;post_test_sensors_2
0.3955078125;459.0;157.0;post_test_sensors_2
-0.0234375;526.0;160.0;post_test_sensors_2
0.07910156249999999;536.0;162.0;post_test_sensors_2
-0.0029296875;504.0;160.0;post_test_sensors_2
-0.0205078125;508.0;161.0;post_test_sensors_2
0.0205078125;549.0;157.0;post_test_sensors_2
-0.011718749999999998;507.0;158.0;post_test_sensors_2
0.0;493.0;160.0;post_test_sensors_2
-1.0898437499999998;534.0;158.0;post_test_sensors_2
-0.0732421875;520.0;159.0;post_test_sensors_2
-0.0146484375;545.0;157.0;post_test_sensors_2
-0.0732421875;531.0;157.0;post_test_sensors_2
-0.029296875;478.0;158.0;post_test_sensors_2
0.017578125;511.0;162.0;post_test_sensors_2
0.3427734375;445.0;158.0;post_test_sensors_2
-0.7060546875;535.0;157.0;post_test_sensors_2
-0.087890625;506.0;157.0;post_test_sensors_2
0.0;484.0;162.0;post_test_sensors_2
0.234375;510.0;160.0;post_test_sensors_2
0.263671875;532.0;159.0;post_test_sensors_2
-0.017578125;517.0;162.0;post_test_sensors_2
-0.05566406249999999;454.0;161.0;post_test_sensors_2
-0.005859374999999999;531.0;157.0;post_test_sensors_2
-0.0146484375;505.0;162.0;post_test_sensors_2
0.1376953125;493.0;162.0;post_test_sensors_2
0.1494140625;527.0;160.0;post_test_sensors_2
-0.0087890625;491.0;160.0;post_test_sensors_2
-0.0146484375;491.0;160.0;post_test_sensors_2
-0.017578125;519.0;161.0;post_test_sensors_2
-0.0087890625;502.0;159.0;post_test_sensors_2
-0.029296875;536.0;161.0;post_test_sensors_2
-0.0615234375;502.0;160.0;post_test_sensors_2
-0.0234375;523.0;157.0;post_test_sensors_2
0.0087890625;480.0;160.0;post_test_sensors_2
-0.011718749999999998;481.0;162.0;post_test_sensors_2
-0.011718749999999998;487.0;159.0;post_test_sensors_2
-0.0234375;505.0;160.0;post_test_sensors_2
-0.076171875;518.0;161.0;post_test_sensors_2
-0.0146484375;516.0;160.0;post_test_sensors_2
0.06738281249999999;477.0;157.0;post_test_sensors_2
-0.0263671875;506.0;162.0;post_test_sensors_2
0.005859374999999999;506.0;159.0;post_test_sensors_2
-0.0029296875;523.0;158.0;post_test_sensors_2
-0.0263671875;516.0;162.0;post_test_sensors_2
-0.011718749999999998;486.0;158.0;post_test_sensors_2
-0.076171875;472.0;157.0;post_test_sensors_2
-0.0849609375;508.0;160.0;post_test_sensors_2
-0.814453125;514.0;162.0;post_test_sensors_2
-0.03222656249999998;516.0;162.0;post_test_sensors_2
0.08203124999999999;517.0;161.0;post_test_sensors_2
-0.0205078125;503.0;162.0;post_test_sensors_2
-0.0029296875;506.0;157.0;post_test_sensors_2
0.005859374999999999;510.0;157.0;post_test_sensors_2
-0.0234375;528.0;157.0;post_test_sensors_2
-0.017578125;527.0;159.0;post_test_sensors_2
0.005859374999999999;521.0;161.0;post_test_sensors_2
0.0263671875;511.0;160.0;post_test_sensors_2
-0.0029296875;500.0;159.0;post_test_sensors_2
-0.06445312499999999;560.0;157.0;post_test_sensors_2
-0.0146484375;488.0;157.0;post_test_sensors_2
-0.0205078125;475.0;159.0;post_test_sensors_2
0.1201171875;510.0;160.0;post_test_sensors_2
-0.0234375;500.0;159.0;post_test_sensors_2
-0.0234375;505.0;159.0;post_test_sensors_2
-0.0205078125;515.0;161.0;post_test_sensors_2
-0.0234375;513.0;162.0;post_test_sensors_2
-0.0234375;494.0;162.0;post_test_sensors_2
-0.0205078125;516.0;157.0;post_test_sensors_2
0.0087890625;511.0;160.0;post_test_sensors_2
-0.005859374999999999;508.0;162.0;post_test_sensors_2
-0.011718749999999998;510.0;162.0;post_test_sensors_2
-0.0087890625;503.0;162.0;post_test_sensors_2
-0.05566406249999999;534.0;162.0;post_test_sensors_2
-0.0146484375;492.0;160.0;post_test_sensors_2
0.05566406249999999;505.0;157.0;post_test_sensors_2
-0.0732421875;514.0;157.0;post_test_sensors_2
-0.0234375;504.0;157.0;post_test_sensors_2
-0.005859374999999999;494.0;157.0;post_test_sensors_2
-0.0439453125;573.0;157.0;post_test_sensors_2
-0.0146484375;505.0;159.0;post_test_sensors_2
0.076171875;524.0;160.0;post_test_sensors_2
0.029296875;497.0;160.0;post_test_sensors_2
-0.017578125;527.0;160.0;post_test_sensors_2
-0.0205078125;495.0;159.0;post_test_sensors_2
-0.0146484375;501.0;159.0;post_test_sensors_2
-0.0263671875;502.0;159.0;post_test_sensors_2
0.0;538.0;158.0;post_test_sensors_2
-0.0087890625;488.0;160.0;post_test_sensors_2
0.099609375;498.0;162.0;post_test_sensors_2
0.28125;524.0;157.0;post_test_sensors_2
-0.0146484375;508.0;162.0;post_test_sensors_2
0.31640624999999994;497.0;157.0;post_test_sensors_2
-0.0380859375;470.0;159.0;post_test_sensors_2
-0.0029296875;506.0;157.0;post_test_sensors_2
-0.0205078125;491.0;161.0;post_test_sensors_2
